I-O3	21.04	ppb	879798798798	00
I-SO2	12.48	ppb	879798798798	00
I-NO	-138.56	ppb	879798798798	00
I-NO2	-44.71	ppb	879798798798	00
I-NOx	39.06	ppb	879798798798	00
I-CO	0.63	ppm	879798798798	00
I-PM 1	30.89	ug/m3	879798798798	00
I-PM 2.5	150.42	ug/m3	879798798798	00
I-PM 10	84.25	ug/m3	879798798798	00
I-TSP	91.94	ug/m3	879798798798	00
M-Temp.	0.00	*C	879798798798	00
M-rel.Humid	0.00	%	879798798798	00
M-amb.Press.	0.00	hPa	879798798798	00
M-WindSpeed	0.00	m/s	879798798798	00
M-WindDir	0.00	Degree	879798798798	00
M-Compass	0.00	Degree	879798798798	00
M-Rain	0.00	mm/h	879798798798	00
M-Glob.Ratiat.	0.00	W/m2	879798798798	00
